name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Capline Services,3.1,82,Healthcare , 201-500 Employees , 8 years old ," Noida +4 more
								    Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",
OVT India,3.6,82,Electrical Equipment , 501-1k Employees , 22 years old ," Noida +4 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Repos Energy,3.7,82,Power , 51-200 Employees , Startup , 7 years old , Pune +6 more
Turing,3.9,82,Internet , 1k-5k Employees , Startup , 6 years old , Palo Alto +3 more
Believe Cosmetics,3.3,82,"Bengaluru/Bangalore +14 more
								    Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",,,,
ARaymond,4.2,82,Auto Components , 501-1k Employees ," Pune +4 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture",,
AccioJob,4.1,82,EdTech , 51-200 Employees , Startup , 6 years old , Gurgaon +3 more
PeopleStrong Technologies,3.4,82,Software Product , 1k-5k Employees , 18 years old ," Gurgaon/Gurugram +5 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",
Paytail,3.1,82,FinTech , 51-200 Employees , Startup , 4 years old , Delhi +9 more
Twin Health,3.5,82,Healthcare , 201-500 Employees , Startup , 6 years old , San Francisco +9 more
Q Tech Microelectronics India,3.6,82,10k-50k Employees ," Greater Noida +3 more
								    Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",,,
Mahanagar Telephone Nigam,3.6,81,Telecom , 10k-50k Employees , Public , 38 years old , New Delhi +8 more
Government of Kerala,4.1,81,Government , 1 Lakh+ Employees , 68 years old ," Thiruvananthapuram +19 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  Critically Rated For Salary & Benefits",
DDF Consultants,3.9,81,Healthcare , 201-500 Employees , 16 years old ," New Delhi +11 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Kalyaniwalla & Mistry,3.3,81,Accounting & Auditing , 51-200 Employees , 96 years old ," Mumbai +5 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Work Life Balance, Salary & Benefits",
Doosan Babcock,4.4,81,Engineering & Construction , 1k-5k Employees (Global) , 143 years old ," Crawley +9 more
								   Highly Rated For Work Satisfaction, Skill Development / Learning, Work Life Balance",
Kabra Extrusion Technik,4.0,81,Industrial Machinery , 501-1k Employees , Public , 62 years old , Mumbai +9 more
Chiripal Group,3.4,81,10k-50k Employees , 52 years old ," Ahmedabad +7 more
								    Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",,
Finicity,3.7,81,Financial Services , 201-500 Employees , 24 years old ," Murrah +3 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Rysun Labs,3.6,81,IT Services & Consulting , 201-500 Employees , 23 years old , Milpitas +4 more,
Recaero,3.9,81,Aviation , 201-500 Employees (Global) , 33 years old ," Verniolle +4 more
								   Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal",
Jal International,3.8,81,Oil & Gas , 201-500 Employees , 39 years old ," Dammam +10 more
								   Highly Rated For Salary & Benefits, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",
AbsolutData,3.5,81,IT Services & Consulting , 201-500 Employees , 23 years old ," Alameda +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
North West Carrying Co.,3.7,81,Logistics , 10k-50k Employees , 26 years old ," Gurgaon/Gurugram +20 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
Komal Tex Fab,3.4,81,Fashion & Textile , 51-200 Employees , 43 years old ," Ahmedabad +3 more
								    Critically Rated For Salary & Benefits, Job Security, Company Culture",
On Demand Agility Software,3.5,81,IT Services & Consulting , 201-500 Employees , 18 years old ," King of Prussia +4 more
								    Critically Rated For Job Security, Skill Development / Learning, Promotions / Appraisal",
Raja Software Labs,3.3,81,IT Services & Consulting , 201-500 Employees , 17 years old ," Sunnyvale +1 more
								    Critically Rated For Job Security, Work Life Balance, Promotions / Appraisal",
Lazza Ice Creams,3.4,81,Food Processing , 1k-5k Employees , 52 years old ," Cochin  +20 more
								    Critically Rated For Job Security, Company Culture, Work Satisfaction",
Meena Bazaar,4.1,81,Fashion & Textile , 201-500 Employees , 54 years old ," Gurgaon/Gurugram +13 more
								   Highly Rated For Skill Development / Learning, Company Culture, Salary & Benefits",
Shiksha.com,3.4,81,Internet , 201-500 Employees , 16 years old ," Noida +16 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Pearl Academy,3.8,81,Education & Training , 201-500 Employees , 31 years old ," New Delhi +8 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
China Steel Corporation,4.4,81,Metals & Mining , 51-200 Employees , 53 years old ," Kaohsiung  +3 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture",
Newtech Medical Devices,3.3,81,Medical Equipment , 51-200 Employees , 17 years old ," Faridabad +6 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Loyal Textile Mills,3.5,81,Fashion & Textile , 1k-5k Employees , Public , 78 years old , Chennai +8 more
Karbonn Mobile,3.9,81,Electronics Manufacturing , 201-500 Employees , 15 years old ," Bengaluru +23 more
								    Critically Rated For Job Security, Salary & Benefits, Promotions / Appraisal",
Pasa Resources,3.7,81,Agro Chemicals , 51-200 Employees ," Ranchi +11 more
								    Critically Rated For Promotions / Appraisal, Work Life Balance, Salary & Benefits",,
Funskool India,4.0,81,Other , 201-500 Employees , 36 years old ,"  Chennai +13 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal",
Batliboi,4.1,81,Industrial Machinery , 501-1k Employees , Public , 132 years old , Mumbai +13 more
Shabari Telecable Network,3.7,81,Facility Management Services , 1k-5k Employees (Global) , 34 years old ," Bangalore/Bengaluru +5 more
								    Critically Rated For Job Security, Salary & Benefits, Promotions / Appraisal",
Mumbai District Central Co-operative Bank,4.5,81,Banking , 5k-10k Employees , Public , 49 years old , Mumbai +6 more
China Steel Corporation,4.4,81,Metals & Mining , 51-200 Employees , 53 years old ," Kaohsiung  +3 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture",
Amoda Group of Industries,4.3,81,Metals & Mining , 51-200 Employees , 20 years old ," Hyderabad +6 more
								   Highly Rated For Company Culture, Work Satisfaction, Salary & Benefits",
Sagacious IP,4.0,81,11-50 Employees , 16 years old ," Everett +3 more
								   Highly Rated For Company Culture, Work Life Balance, Job Security",,
Karbonn Mobile,3.9,81,Electronics Manufacturing , 201-500 Employees , 15 years old ," Bengaluru +23 more
								    Critically Rated For Job Security, Salary & Benefits, Promotions / Appraisal",
Thriveni Sainik Mining,4.2,81,Metals & Mining , 51-200 Employees , 9 years old ," Hazaribagh +8 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Work Life Balance",
CADS Software,3.9,81,IT Services & Consulting , 201-500 Employees , 50 years old ," Dorset +3 more
								    Critically Rated For Promotions / Appraisal, Work Life Balance, Company Culture",
Lavya Associates HR Services,3.9,81,Recruitment , 51-200 Employees , 12 years old ," Ludhiana +4 more
								   Highly Rated For Work Life Balance, Promotions / Appraisal, Skill Development / Learning",
Radiate E Services,2.5,81,BPO , 11-50 Employees , 13 years old ," Noida +2 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Blenheim Chalcot,3.2,81,IT Services & Consulting , 501-1k Employees , 26 years old ," London +3 more
								    Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",
Lavie World,3.9,81,Retail , 201-500 Employees , 14 years old ," Mumbai +17 more
								   Highly Rated For Salary & Benefits, Skill Development / Learning, Work Life Balance",
Chumbak Design,3.9,81,Retail , 11-50 Employees , 14 years old ," Bangalore +20 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Simple Logic IT,4.4,81,IT Services & Consulting , 201-500 Employees , 15 years old ," Mumbai +1 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
AVON TUBETECH,3.0,81,Iron & Steel , 51-200 Employees , 27 years old ," Palwal +7 more
								    Critically Rated For Job Security, Company Culture, Promotions / Appraisal",
Malpani Group,4.3,81,Power , 1k-5k Employees , 130 years old ," Sangamner +9 more
								   Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",
Sourcefuse Technologies,4.1,81,IT Services & Consulting , 501-1k Employees , 18 years old ," Jacksonville Beach +4 more
								   Highly Rated For Salary & Benefits, Work Life Balance, Company Culture",
IMCO Engineering & Construction,4.5,81,Engineering & Construction , 51-200 Employees , 54 years old ," Ahmadi +7 more
								   Highly Rated For Job Security, Salary & Benefits, Work Life Balance",
Shemford Futuristic School,3.6,81,Education & Training , 51-200 Employees , 15 years old ," New Delhi +33 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
BBD University,3.2,81,Financial Services , 10k-50k Employees (Global) , 14 years old ," Lucknow +3 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Reliance Footprint,4.1,81,Retail , 1-10 Employees , 17 years old ," Mumbai +41 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Pearl Academy,3.8,81,Education & Training , 201-500 Employees , 31 years old ," New Delhi +8 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Signals & Systems (India) Private Limited,4.0,81,Electronics Manufacturing , 51-200 Employees , 29 years old ," Chennai +11 more
								   Highly Rated For Job Security, Work Satisfaction, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Funskool India,4.0,81,Other , 201-500 Employees , 36 years old ,"  Chennai +13 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal",
Kabra Extrusion Technik,4.0,81,Industrial Machinery , 501-1k Employees , Public , 62 years old , Mumbai +9 more
Openview Technologies,3.1,81,IT Services & Consulting , 51-200 Employees , 28 years old ," Pune +10 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
DDF Consultants,3.9,81,Healthcare , 201-500 Employees , 16 years old ," New Delhi +11 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Ashiana Homes,3.9,81,Real Estate , 51-200 Employees , 45 years old ," Delhi/NCR +7 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",
Finicity,3.7,81,Financial Services , 201-500 Employees , 24 years old ," Murrah +3 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Raja Software Labs,3.3,81,IT Services & Consulting , 201-500 Employees , 17 years old ," Sunnyvale +1 more
								    Critically Rated For Job Security, Work Life Balance, Promotions / Appraisal",
Rysun Labs,3.6,81,IT Services & Consulting , 201-500 Employees , 23 years old , Milpitas +4 more,
Government of Kerala,4.1,81,Government , 1 Lakh+ Employees , 68 years old ," Thiruvananthapuram +19 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  Critically Rated For Salary & Benefits",
Jal International,3.8,81,Oil & Gas , 201-500 Employees , 39 years old ," Dammam +10 more
								   Highly Rated For Salary & Benefits, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",
Chiripal Group,3.4,81,10k-50k Employees , 52 years old ," Ahmedabad +7 more
								    Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",,
JSS Medical Research,3.7,81,Clinical Research , 201-500 Employees , 39 years old ," Saint-Laurent +13 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",
OCS Services,4.1,81,Oil & Gas , 51-200 Employees , 40 years old ," Dubai +13 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",
Zamil,3.8,81,Financial Services , 201-500 Employees , 104 years old ," Al Khobar +11 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Company Culture",
Batliboi,4.1,81,Industrial Machinery , 501-1k Employees , Public , 132 years old , Mumbai +13 more
Mahanagar Telephone Nigam,3.6,81,Telecom , 10k-50k Employees , Public , 38 years old , New Delhi +8 more
